Subuser,Date,Bandwidth Usage (GB)
nchrisngana9e6zz,2021-12,9.973977539
qureshisam98574b,2021-01,0.912242188
millyvee07f05e,2020-11,0.061703125
honchohypebe33,2021-01,0.42356543
tevinneak113e,2020-10,0.004231445
casiosneakers23fd,2020-11,0.345749023
lilghost0539136,2020-08,0.028042969
aminfzamani91a1,2020-11,0.012519531
carymcewan1332,2020-11,2.6289375
kowalrafik134ff26,2020-09,0.041069336
giladarbermane4ed,2020-08,3.460506836
m1loou898f3c6,2020-12,0.074496094
siromukadaya78f,2020-10,6.938333984
xuleon021ba1,2020-08,3.218267578
elliegjh98fc,2020-10,0.77021582
tallersneaks64106,2020-08,1.864274414
hypesouthfl6c2c,2020-10,2.809178711
rangersiron8111f7b26,2020-05,0.017257813
littleacker5544378,2020-07,0.769578125
andrzlnn65576,2020-04,0.73959082
shigary23a39e,2020-07,0.691457031
lilsnoopy714af9f,2020-04,0.063895508
geohighflyer697a,2020-08,1.070429688
zelwilson037014,2020-09,1.056369141
mariusschroeter2309335f,2020-09,35.14360352
patelkarna123f7206,2020-04,0.049703125
tapedeckardfac3,2020-09,0.136490234
bryanfong23320605,2020-06,0.63625
ltielung377f6,2020-04,0.00027832
jbarley20215d2e,2020-06,1.372602539
afromakchefsfbb6,2020-08,13.69773633
adrian_lara469f4f,2020-08,1.074436523
raptorslife234461,2020-10,0.239701172
cesarjplas8998,2020-07,0.026711914
jordydehaes9df6e6,2020-07,24.1856543
hiya143251fd,2020-08,0.149517578
barryallentheflash12bfee,2020-10,0.406126953
jamos6912d37d,2020-06,0.35452832
aidan90939,2020-04,1.16550293
crestocy64bb,2020-11,0.758777344
kelvinphu8d1c,2020-08,0.041260742
braydonp33d3e8,2020-09,0.383746094
dirtysneakers01d025,2020-07,1.416282227
trok4prvt8b57,2020-12,0.022209961
maverickderrickc75e6,2020-05,1.263558594
cao042911456,2020-12,0.018610352
frankis1995b4916,2020-05,0.246561523
nspirea53e6,2020-06,0.523648438
hongjunkims5d5f,2020-10,10.73888184
johnwesharris96fad3,2020-06,0.015137695
mattrawlson99d5ffzz,2021-12,0.531282227
sedatfatih81126,2020-05,6.370015625
scoobydred5fb6,2020-09,0.795349609
mind_control80d1,2020-07,2.510856445
yardbirds24b8b36,2020-05,0.000283203
jeffxcore282136,2020-05,0.919944336
boxheadtwoplay74b7,2020-12,3.91E-06
nartnarffe76,2020-04,0.173463867
blasties3p6463,2020-07,2.782280273
joshuakim209fb29,2020-09,0.441110352
ralphdipianobc786,2020-04,0.278242188
kevinye357c5706,2020-06,0.499021484
jackbandit4d756,2020-05,0.807363281
kicksofju56316,2020-05,3.389966797
gumpbalooc7ce,2020-09,5.601063477
officialjd32101a9,2020-07,9.77E-07
gomezluis1211959,2020-11,0.878011719
jayceemichael050a,2020-10,2.435777344
jbyang4130716,2020-09,1.014677734
porkpeee3dd8,2020-09,1.874229492
luisrrobles156a42,2020-09,3.51553125
astralco2020ea35,2020-10,0.549578125
will2d1a6,2020-10,10.93482031
joonwon1013b294,2020-08,63.94844629
limhongzhixda62e6,2020-07,0.020438477
dannyharrytecbf6,2020-07,0.014455078
gideonkwame98867c,2020-12,0.013264648
wimran06649c07,2020-09,1.776243164
brandon23telleza8ae,2020-09,0.871712891
kostarestoed2e6,2020-08,1.044958008
dlathiya0544f1,2020-08,0.546555664
nicolaslangevin2886fe,2020-11,0.103466797
hamada0683c8b9,2020-07,1.022675781
905soles614d,2020-10,5.808580078
guanjun84904795150866,2020-07,0.017628906
bouvierflorian9c9a6,2020-12,0.961421875
wolffemmet1202,2020-12,0.333246094
thirdgrailcontactca3c6,2020-04,2.289339844
jdelasalas_24b71b6,2020-11,0.266500977
ddslayer618946,2020-04,3.22525293
howthedenb219,2020-09,0.223390625
lennogarza67ad5f6,2020-05,1.560681641
ben23thompson98406,2020-06,0.965723633
nkaur47478daazz,2021-12,4.874223633
mohmedmomin786cc57,2020-09,5.536320313
matiasjaramillo2004207c,2020-08,2.313087891
psvillan101758,2020-08,0.627048828
carymcewan1332,2020-05,8.782366211
rjdmrox4c556,2020-06,2.378349609
riverjordanrichf57e,2020-06,0.437230469
nvlynchbb6a,2020-09,19.13790039
stevenapaipong1236a44,2020-05,0.380631836
duytrinhaug25ec0f6,2020-06,3.574419922
cgqflyhigheree9f,2020-07,2.493415039
lynnylt914d,2020-05,3.71821875
santui7399dac56,2020-11,3.166691406
1064264zzxz,2022-01,0
notloosh4bf86,2020-04,0.618323242
dashgod1237a276,2020-04,0.143112305
hetianhao01097e9e6,2020-06,3.358761719
ethandendlec6796,2020-04,0.12465332
nimerpatrick1192,2020-09,0.597856445
mrlcal3211,2020-10,0.697591797
mixedupgaming123cbb26,2020-05,4.360050781
juanfranciscolira1477f36,2020-04,1.691314453
bennypena1337c1756,2020-05,0.20052832
zacmitsakis2a4b,2020-10,3.962277344
aden78d2,2020-10,1.582943359
bennypena1337c1756,2020-08,2.152916016
amarjitchohanv531b16,2020-04,1.143979492
cofmat123455222,2020-11,2.117863281
nicholasplacek18ecd,2020-07,1.366779297
mimzileung7720,2020-08,3.196261719
hbtan991aee6,2020-06,0.006807617
cyrielbaltus27c0,2020-09,0.299712891
prodbylvlse091,2020-11,0.235960938
timbalandrum92776,2020-06,1.362359375
kamazthekama135ef2,2020-10,0.021892578
elibenvena9f4,2020-07,0.081273438
hookupsxvif6926,2020-11,1.522520508
colinjia66792a8,2021-01,0.478039063
mrperfectpairb46f,2020-12,1.691741211
mwmw020505ea99,2020-10,2.304043945
premecheckouts051b,2020-07,7.157959961
linalan236ba6,2020-10,2.692319336
bran6alex193f6,2020-05,1.485546875
hockeyguyky4124,2020-10,0.540266602
alexyang1298c15a,2020-12,0.179719727
garytran317c79,2020-06,0.204560547
yrnslimee6b1c,2020-08,3.931199219
kyzyazy123e11azz,2021-12,4.028734375
gmmoney195bfb6,2020-08,0.132915039
gaddymiles6c07azz,2021-12,1.989255859
dreamdripyyca208,2020-10,0.140180664
tymphillipsa5ae,2020-09,1.173556641
ervin7197,2020-11,0.394837891
liserketf72b,2020-10,6.300442383
davidhunm9f3d6,2020-07,0.905130859
bairdbaird2005b621,2020-10,3.069368164
griffithhanlon040c6,2020-04,0.301201172
julienteves8fb0,2020-10,1.459191406
explicitlyxdece16,2020-04,0.491731445
jsiruno47hi65376,2020-04,0.776046875
escobaral1998c672,2020-07,0.094647461
sallsm8981ed9,2020-05,1.255175781
drexcooks24dc,2020-08,1.249882813
irafiuddin35d42,2020-11,0.119380859
merenyia253011,2020-10,0.355010742
quan0720011da046,2020-04,0.531124023
zeasoldier750e,2020-07,3.926913086
verdoyrobertoc027,2020-08,0.441963867
elvistran947f75,2020-08,1.119097656
martijnwob8640,2020-11,2.005884766
scottmorgan91725b2,2020-06,0.56903125
itsmeleowfed5,2020-12,0.949858398
getyrplugau6224,2020-12,0.001664063
brandonhuaabd6d,2020-08,10.38807227
kelvinphu8d1c,2020-07,6.705477539
ajalvarez87df796,2020-06,2.975415039
davidhunm9f3d6,2020-06,0.581293945
macsvm746416,2020-04,0.003525391
bishoskickz99cb6,2020-12,1.669209961
iapaarsingh3fee,2020-09,1.141311523
ngsongfengf6036,2020-04,2.486319336
282835zzxz,2022-01,0.041352539
kevinkong2007ba83,2020-10,2.044664063
epsteinzace8ae,2020-06,0.740727539
keithdevelops52d9,2021-01,0.613589844
ghostingkicks6136,2020-11,3.448787109
ozoneburl949a6f6,2020-07,4.101713867
atcsupreme754b6,2020-05,2.178391602
omgimluis8b666,2020-05,0.279680664
345342zzxz,2022-01,0.800117188
nextjsm0942966,2020-12,8.075655273
kopng75b16d,2020-09,3.226713867
malh5760a2fa,2020-09,0.961529297
aeroteckx215a7zz,2021-12,0.950595703
maabes905bg16,2020-10,0.802515625
nilslukowskya2b5,2020-12,0.284229492
dtruong24b5be6,2020-10,0.080860352
wxx19910417834d,2020-12,1.595344727
ianmcdonad2003744e,2020-08,2.002462891
jonathanaharonov69c1,2020-08,0.719145508
elibenvena9f4,2020-05,0.237558594
viveik144fb2,2020-12,1.068911133
keymon22721a0,2020-12,2.591779297
devindavie2225f206,2020-09,0.528244141
elysjg1e18f,2020-07,0.731245117
michaelmarshall85f5d6,2020-05,0.01303418
kleveringa22e1fb,2020-10,0.801264648
noahsatkunam20033db7,2020-10,12.60210547
hbtan991aee6,2020-05,0.539040039
dewaynebaileya01f,2020-10,0.891958008
lukedixon198649e1,2020-09,0.732726563
k0rnst4r3bc76,2020-05,0.04221875
avikomarlingam2453,2020-09,0.539524414
mcoygel001523ezz,2021-12,2.77796582
rat3dr3451c61,2020-10,7.243324219
alosman2461cf,2020-06,0.543873047
stevenkemmererc0c7,2020-08,0.00206543
yusufgaffar99a600,2020-11,0.630901367
mobilenexus21c605,2020-06,0.043907227
ddempster71bc36,2020-12,7.435902344
kirkkaibc94,2020-12,0.447262695
aolomu7865,2020-10,0.090926758
kelvinphu8d1c,2020-05,1.565630859
22jadrick1413cf,2020-07,3.690889648
rjcooks45ada36,2020-12,0.601054688
realbarrillo3105,2020-11,0.008150391
neogg_e9e9,2020-11,0.586681641
thomasguy12c1dfzz,2021-12,1.271007813
justsgj000475d,2020-11,0.938602539
jessebergenbaum4d3a,2020-08,1.283421875
het11252eff7,2020-11,0.620375977
rakimberry0c47,2020-11,0.470628906
waltgeorg336439,2020-07,0.046628906
aaronvalle453856,2020-05,2.233146484
bucketz818382a,2020-07,1.417380859
michaelcap88e357,2020-09,5.145294922
kevinw070898e0726,2020-06,2.336213867
zhaochuqiao1997b406,2020-06,1.545884766
mellis841156896,2020-04,0.392260742
dvdripvideoscd29,2020-06,0.179292969
scotknowles762e,2020-04,1.385760742
cpangia88176596,2020-04,0.113491211
caomaotao666a209,2020-09,4.362383789
anson900907e1266,2020-08,3.215979492
taiyuanzeedfc,2021-01,0.611977539
johnxflame0010a19,2020-09,3.167185547
deeaguode4d,2020-08,0.278241211
rykerzc5e0,2020-12,0.007418945
dwij28115d61,2020-09,3.998557617
sambug25481939,2020-04,1.021981445
jaiveerbhasinc1f1,2021-12,6.213395508
newbie081904f966,2020-05,0.131953125
280113zzxz,2022-01,1.789757813
jackelyman0c806,2020-08,33.58621973
wilmolovvorn6be16,2020-04,0.520548828
phongha0503a4546,2020-06,0.468689453
dawoudkyrillos3ab2,2020-07,0.784599609
jessicalmagnani144f,2021-01,0.145837891
873452zz,2021-12,0.435751953
chance2chanceecf2,2021-01,0.012826172
ebermosquedacr73f6a,2020-10,0.288838867
refsato2a81,2020-10,3.258496094
